trial_id,passenger_id,entry_time_min,seat,group,baggage,interarrival_time_min
20250506_211117,79,8.10,"(5, 0)",3,6.0,-4.68
20250506_211117,80,6.55,"(5, 1)",3,9.0,-1.55
20250506_211117,81,5.88,"(5, 2)",3,4.0,-0.67
20250506_211117,82,7.55,"(5, 4)",3,7.0,1.67
20250506_211117,83,8.67,"(5, 5)",3,10.0,1.12
20250506_211117,84,8.58,"(5, 6)",3,4.0,-0.08
20250506_211117,85,3.50,"(4, 0)",2,6.0,-5.08
20250506_211117,86,2.72,"(4, 1)",2,8.0,-0.78
20250506_211117,87,2.05,"(4, 2)",2,7.0,-0.67
20250506_211117,88,5.02,"(4, 4)",2,6.0,2.97
20250506_211117,89,4.25,"(4, 5)",2,10.0,-0.77
20250506_211117,90,4.33,"(4, 6)",2,5.0,0.08
20250506_211117,91,0.23,"(3, 0)",1,6.0,-4.10
20250506_211117,92,0.80,"(3, 1)",1,7.0,0.57
20250506_211117,93,0.15,"(3, 2)",1,6.0,-0.65
20250506_211117,94,0.03,"(3, 4)",1,7.0,-0.12
20250506_211117,95,0.00,"(3, 5)",1,7.0,-0.03
20250506_211117,96,1.45,"(3, 6)",1,8.0,0.00
